tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
7260	Drosophila willistoni	6641177	0	live	LOC6641177	Dwil_GK19903, Dwil\per, GK19903, GK19903-PB, per, per-PB, period, wil_per	period circadian protein	period circadian protein|Dwil\GK19903|Dwil\GK19903-PB|Dwil\per-PB|dwil_GLEANR_2510		XL	NW_025814052.1	10702371	10706582	minus	8
110368	Bicyclus anynana	112050002	0	live	LOC112050002	period	period circadian protein	period circadian protein		Z	NC_069110.1	7822005	7873710	plus	28
29058	Helicoverpa armigera	110374515	0	live	LOC110374515	B5X24_HaOG215851, HaOG215851, period	period circadian protein	period circadian protein		1	NC_087120.1	7018187	7056816	minus	29
104688	Bactrocera oleae	106625645	0	live	LOC106625645	Per, period	period circadian protein	period circadian protein		Un	NW_021677886.1	72807	90327	minus	15
51655	Plutella xylostella	105381610	0	live	LOC105381610	PLXY1_LOCUS1980, period	period circadian protein	period circadian protein		Z	NC_064012.1	10895445	10931706	plus	29
28588	Zeugodacus cucurbitae	105209991	0	live	LOC105209991	per, per_1, period	period circadian protein	period circadian protein		5	NC_071670.1	58449025	58465638	plus	16
95512	Anastrepha obliqua	129238619	0	live	LOC129238619	PER1, period	period circadian protein	period circadian protein|period protein		2	NC_072893.1	22469245	22521937	plus	14
28586	Anastrepha ludens	128857133	0	live	LOC128857133	PER1, period	period circadian protein	period circadian protein|period protein		3	NC_071499.1	21649874	21685769	plus	14
28610	Rhagoletis pomonella	118733327	0	live	LOC118733327	PER, period	period circadian protein	period circadian protein		Un	NW_023458556.1	24482467	24502776	plus	12
42062	Drosophila nasuta	132798626	0	live	LOC132798626	per, period	dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1	dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1		2L	NC_083455.1	11484486	11586961	plus	15
139649	Teleopsis dalmanni	119668489	0	live	LOC119668489	PER, period	period circadian protein-like	period circadian protein-like		1	NC_051846.1	127129939	127209744	plus	11
42062	Drosophila nasuta	132795519	0	live	LOC132795519	per, period	period circadian protein	period circadian protein|period protein		X	NC_083459.1	25260233	25266399	minus	9
286459	Episyrphus balteatus	129911545	0	live	LOC129911545	PER, period	period circadian protein	period circadian protein		2	NC_079135.1	70469072	70485440	minus	11
13191	Pectinophora gossypiella	126380503	0	live	LOC126380503	period	period circadian protein	period circadian protein		Z	NC_065433.1	8601757	8652416	plus	28
7113	Helicoverpa zea	124644749	0	live	LOC124644749	period	period circadian protein-like	period circadian protein-like		31	NC_061482.1	10885265	10917373	plus	29
1518534	Anopheles coluzzii	120948322	0	live	LOC120948322	period	uncharacterized LOC120948322	uncharacterized protein LOC120948322		2	NC_064670.1	11165369	11180789	minus	8
343691	Hermetia illucens	119653723	0	live	LOC119653723	HERILL_LOCUS914, PER, period	period circadian protein	period circadian protein		1	NC_051849.1	46611987	46680358	plus	14
7396	Glossina fuscipes	119644641	0	live	LOC119644641	period	period circadian protein	period circadian protein		Un	NW_023998414.1	13724697	13737468	minus	14
93504	Ostrinia furnacalis	114365005	0	live	LOC114365005	period	period circadian protein	period circadian protein		Un	NW_021137771.1	683597	768500	minus	28
7137	Galleria mellonella	113516630	0	live	LOC113516630	period	period circadian protein	period circadian protein		Un	NW_026442079.1	7067857	7112994	minus	29
69820	Spodoptera litura	111360701	0	live	LOC111360701	period	period circadian protein	period circadian protein		Z	NC_036217.1	13175791	13208824	minus	32
174628	Bactrocera latifrons	108977252	0	live	LOC108977252	Per, per_4, per_6, period	period circadian protein	period circadian protein		Un	NW_017537556.1	232058	250191	minus	13
7461	Apis cerana	107998360	0	live	LOC107998360	Period, per	period circadian protein	period circadian protein|Period alpha|Period alpha'|Period beta|Period beta'|Period delta|Period gamma		LG12	NC_083863.1	9800567	9822762	minus	17
7176	Culex quinquefasciatus	6039750	0	live	LOC6039750	period	period circadian protein	period circadian protein		3	NC_051863.1	36554796	36576049	plus	7
