hit_from,hit_to,query_from,query_to,hit_gaps,query_gaps,align_from,align_to,align_len,identity,query_strand,hit_strand,bit_score,evalue,hit_seqid,hit_genome_id,query_genome_id,hit_taxonomy_id,query_taxonomy_id,gff_seqid,gff_source,gff_type,gff_start,gff_end,gff_score,gff_strand,gff_phase,gff_gene_id,gff_attribute:ID
13095234,13095417,0,183,0,0,13095234,13095419,183,168,+,+,255.958,2.04406e-67,NT_033777.3,GCF_000001215.4,GCF_011750605.1,7227,30019,NC_046607.1,Gnomon,exon,7126706,7126891,None,+,None,108601565,exon-XM_033293904.1-5
13098862,13098976,0,114,0,0,13098862,13098985,114,103,+,+,150.699,6.13961e-36,NT_033777.3,GCF_000001215.4,GCF_011750605.1,7227,30019,NC_046607.1,Gnomon,exon,7130686,7130809,None,+,None,108601565,exon-XM_033293904.1-6
13099683,13099847,0,164,0,0,13099683,13099849,164,144,+,+,193.172,1.44266e-48,NT_033777.3,GCF_000001215.4,GCF_011750605.1,7227,30019,NC_046607.1,Gnomon,exon,7131415,7131581,None,+,None,108601565,exon-XM_033293904.1-7
13161157,13161362,0,205,0,0,13161157,13161362,205,182,+,+,252.265,2.97469e-66,NT_033777.3,GCF_000001215.4,GCF_011750605.1,7227,30019,NC_046607.1,Gnomon,exon,7184334,7184539,None,+,None,108601566,exon-XM_017989465.2-6
16297836,16298068,0,232,2,2,16297836,16298073,234,201,+,+,246.725,4.26923e-64,NC_052668.1,GCF_016802725.1,GCF_003254395.2,13686,7460,NC_037641.1,Gnomon,exon,9347764,9348001,None,-,None,550811,exon-XM_006565432.3-19
16297836,16298068,0,232,2,2,16297836,16298073,234,201,+,+,246.725,4.26923e-64,NC_052668.1,GCF_016802725.1,GCF_003254395.2,13686,7460,NC_037641.1,Gnomon,exon,9347764,9348001,None,-,None,550811,exon-XM_006565433.3-19
6567896,6567924,443,471,0,0,6567453,6568437,28,28,+,-,52.8265,4.52588e-05,NC_052664.1,GCF_016802725.1,GCF_015732765.1,13686,7176,NC_051861.1,Gnomon,exon,72400109,72401093,None,+,None,6031420,exon-XM_038263257.1-15
2689969,2690517,997,1551,12,6,2688972,2690569,560,446,+,-,387.07,6.8168e-106,NC_004354.4,GCF_000001215.4,GCF_018902025.1,7227,7260,NW_025814052.1,Gnomon,exon,10703305,10704902,None,-,None,6641177,exon-XM_023175352.2-4
2685571,2685844,0,268,5,10,2685571,2685915,278,237,+,+,272.578,4.04662e-72,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2565393,2565737,None,+,None,6616175,exon-XM_032724311.1-1
2688196,2688338,0,148,6,0,2688196,2688344,148,140,+,+,224.565,4.46735e-58,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2567812,2567960,None,+,None,6616175,exon-XM_032724311.1-2
2688399,2689438,0,1033,0,6,2688399,2689432,1039,1003,+,+,1714.81,0,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2568030,2569063,None,+,None,6616175,exon-XM_032724311.1-3
2689503,2689859,0,356,0,0,2689503,2689859,356,341,+,+,575.428,2.8578e-163,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2569124,2569480,None,+,None,6616175,exon-XM_032724311.1-4
2689922,2690239,0,317,0,0,2689922,2690239,317,306,+,+,525.569,2.57516e-148,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2569543,2569860,None,+,None,6616175,exon-XM_032724311.1-5
2690316,2690506,0,190,0,0,2690316,2690506,190,186,+,+,329.824,1.22456e-89,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2569937,2570127,None,+,None,6616175,exon-XM_032724311.1-6
2685575,2685844,0,264,5,10,2685575,2685915,274,233,+,+,265.191,6.68653e-70,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2565397,2565737,None,+,None,6616175,exon-XM_032724310.1-1
2688196,2688338,0,148,6,0,2688196,2688344,148,140,+,+,224.565,4.46735e-58,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2567812,2567960,None,+,None,6616175,exon-XM_032724310.1-2
2688399,2689438,0,1033,0,6,2688399,2689432,1039,1003,+,+,1714.81,0,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2568030,2569063,None,+,None,6616175,exon-XM_032724310.1-3
2689503,2689859,0,356,0,0,2689503,2689859,356,341,+,+,575.428,2.8578e-163,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2569124,2569480,None,+,None,6616175,exon-XM_032724310.1-4
2689922,2691636,0,1696,1,19,2689922,2691618,1715,1623,+,+,2639.98,0,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2569543,2571239,None,+,None,6616175,exon-XM_032724310.1-5
2691707,2691943,0,236,0,0,2691707,2691943,236,229,+,+,398.15,4.23246e-110,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2571306,2571542,None,+,None,6616175,exon-XM_032724310.1-6
2692008,2692148,0,140,0,0,2692008,2692148,140,138,+,+,248.571,2.47985e-65,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2571606,2571746,None,+,None,6616175,exon-XM_032724310.1-7
2692200,2692387,3,189,0,1,2692197,2692388,187,182,+,+,316.897,9.59144e-86,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2571794,2571985,None,+,None,6616175,exon-XM_032724310.1-8
2692476,2692777,0,296,5,10,2692476,2692775,306,268,+,+,340.904,9.39434e-93,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2572072,2572371,None,+,None,6616175,exon-XM_032724310.1-9
2685575,2685844,0,264,5,10,2685575,2685915,274,233,+,+,265.191,6.68653e-70,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2565397,2565737,None,+,None,6616175,exon-XM_032724309.1-1
2688196,2688338,0,148,6,0,2688196,2688344,148,140,+,+,224.565,4.46735e-58,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2567812,2567960,None,+,None,6616175,exon-XM_032724309.1-2
2688399,2689438,0,1033,0,6,2688399,2689432,1039,1003,+,+,1714.81,0,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2568030,2569063,None,+,None,6616175,exon-XM_032724309.1-3
2689503,2689859,0,356,0,0,2689503,2689859,356,341,+,+,575.428,2.8578e-163,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2569124,2569480,None,+,None,6616175,exon-XM_032724309.1-4
2689922,2691636,0,1696,1,19,2689922,2691618,1715,1623,+,+,2639.98,0,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2569543,2571239,None,+,None,6616175,exon-XM_032724309.1-5
2691707,2691943,0,236,0,0,2691707,2691943,236,229,+,+,398.15,4.23246e-110,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2571306,2571542,None,+,None,6616175,exon-XM_032724309.1-6
2692008,2692148,0,140,0,0,2692008,2692148,140,138,+,+,248.571,2.47985e-65,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2571606,2571746,None,+,None,6616175,exon-XM_032724309.1-7
2692209,2692387,2,179,0,1,2692207,2692388,178,174,+,+,305.817,1.95111e-82,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2571804,2571985,None,+,None,6616175,exon-XM_032724309.1-8
2692476,2692777,0,296,5,10,2692476,2692775,306,268,+,+,340.904,9.39434e-93,NC_004354.4,GCF_000001215.4,GCF_004382195.2,7227,7238,NC_045954.1,Gnomon,exon,2572072,2572371,None,+,None,6616175,exon-XM_032724309.1-9
2688220,2688338,21,139,0,0,2688199,2688338,118,116,+,+,207.945,4.17252e-53,NC_004354.4,GCF_000001215.4,GCF_003286155.1,7227,7220,NW_020825209.1,Gnomon,exon,1082463,1082602,None,+,None,6550757,exon-XM_001976699.3-2
2688399,2689438,0,1036,0,3,2688399,2689435,1039,944,+,+,1389.8,0,NC_004354.4,GCF_000001215.4,GCF_003286155.1,7227,7220,NW_020825209.1,Gnomon,exon,1082690,1083726,None,+,None,6550757,exon-XM_001976699.3-3
2689503,2689859,0,356,1,1,2689503,2689859,357,325,+,+,481.249,6.40879e-135,NC_004354.4,GCF_000001215.4,GCF_003286155.1,7227,7220,NW_020825209.1,Gnomon,exon,1083803,1084159,None,+,None,6550757,exon-XM_001976699.3-4
2689922,2691636,0,1699,39,54,2689922,2691621,1753,1487,+,+,1677.88,0,NC_004354.4,GCF_000001215.4,GCF_003286155.1,7227,7220,NW_020825209.1,Gnomon,exon,1084223,1085922,None,+,None,6550757,exon-XM_001976699.3-5
2692008,2692148,0,140,0,0,2692008,2692148,140,130,+,+,204.252,5.44443e-52,NC_004354.4,GCF_000001215.4,GCF_003286155.1,7227,7220,NW_020825209.1,Gnomon,exon,1086271,1086411,None,+,None,6550757,exon-XM_001976699.3-7
2688220,2688338,21,139,0,0,2688199,2688338,118,116,+,+,207.945,4.17252e-53,NC_004354.4,GCF_000001215.4,GCF_003286155.1,7227,7220,NW_020825209.1,Gnomon,exon,1082463,1082602,None,+,None,6550757,exon-XM_026981841.1-2
2688399,2689438,0,1036,0,3,2688399,2689435,1039,944,+,+,1389.8,0,NC_004354.4,GCF_000001215.4,GCF_003286155.1,7227,7220,NW_020825209.1,Gnomon,exon,1082690,1083726,None,+,None,6550757,exon-XM_026981841.1-3
2689503,2689859,0,356,1,1,2689503,2689859,357,325,+,+,481.249,6.40879e-135,NC_004354.4,GCF_000001215.4,GCF_003286155.1,7227,7220,NW_020825209.1,Gnomon,exon,1083803,1084159,None,+,None,6550757,exon-XM_026981841.1-4
2689922,2691636,0,1699,39,54,2689922,2691621,1753,1487,+,+,1677.88,0,NC_004354.4,GCF_000001215.4,GCF_003286155.1,7227,7220,NW_020825209.1,Gnomon,exon,1084223,1085922,None,+,None,6550757,exon-XM_026981841.1-5
2692008,2692148,0,140,0,0,2692008,2692148,140,130,+,+,204.252,5.44443e-52,NC_004354.4,GCF_000001215.4,GCF_003286155.1,7227,7220,NW_020825209.1,Gnomon,exon,1086271,1086411,None,+,None,6550757,exon-XM_026981841.1-7
2689924,2690517,2,589,6,12,2689922,2691339,599,475,+,+,403.69,5.99271e-111,NC_004354.4,GCF_000001215.4,GCF_003285875.2,7227,47314,NW_020824856.1,Gnomon,exon,561819,563236,None,+,None,115767589,exon-XM_030711875.1-6
2692008,2692127,0,119,0,0,2692008,2692148,119,106,+,+,148.852,2.58738e-35,NC_004354.4,GCF_000001215.4,GCF_003285875.2,7227,47314,NW_020824856.1,Gnomon,exon,563716,563856,None,+,None,115767589,exon-XM_030711875.1-8
2689924,2690517,2,589,6,12,2689922,2691339,599,475,+,+,403.69,5.99271e-111,NC_004354.4,GCF_000001215.4,GCF_003285875.2,7227,47314,NW_020824856.1,Gnomon,exon,561819,563236,None,+,None,115767589,exon-XM_030711876.1-5
2692008,2692127,0,119,0,0,2692008,2692148,119,106,+,+,148.852,2.58738e-35,NC_004354.4,GCF_000001215.4,GCF_003285875.2,7227,47314,NW_020824856.1,Gnomon,exon,563716,563856,None,+,None,115767589,exon-XM_030711876.1-7
2689924,2690517,2,589,6,12,2689922,2691339,599,475,+,+,403.69,5.99271e-111,NC_004354.4,GCF_000001215.4,GCF_003285875.2,7227,47314,NW_020824856.1,Gnomon,exon,561819,563236,None,+,None,115767589,exon-XM_030711877.1-5
2692008,2692127,0,119,0,0,2692008,2692148,119,106,+,+,148.852,2.58738e-35,NC_004354.4,GCF_000001215.4,GCF_003285875.2,7227,47314,NW_020824856.1,Gnomon,exon,563716,563856,None,+,None,115767589,exon-XM_030711877.1-7
10042398,10042527,1,130,0,0,10042397,10042527,129,108,+,+,122.999,2.2254e-27,NC_037649.1,GCF_003254395.2,GCF_016802725.1,7460,13686,NC_052666.1,Gnomon,exon,29809351,29809481,None,-,None,105204533,exon-XM_039446605.1-4
10039864,10040046,0,182,0,0,10039864,10040048,182,165,+,+,243.031,2.47922e-63,NC_037649.1,GCF_003254395.2,GCF_016802725.1,7460,13686,NC_052666.1,Gnomon,exon,29803024,29803208,None,-,None,105204533,exon-XM_039446605.1-7
10042398,10042523,1,126,0,0,10042397,10042524,125,105,+,+,121.153,7.77526e-27,NC_037649.1,GCF_003254395.2,GCF_016802725.1,7460,13686,NC_052666.1,Gnomon,exon,29809351,29809478,None,-,None,105204533,exon-XM_011173624.3-4
10039864,10040046,0,182,0,0,10039864,10040048,182,165,+,+,243.031,2.47922e-63,NC_037649.1,GCF_003254395.2,GCF_016802725.1,7460,13686,NC_052666.1,Gnomon,exon,29803024,29803208,None,-,None,105204533,exon-XM_011173624.3-7
10042398,10042527,1,130,0,0,10042397,10042527,129,108,+,+,122.999,2.2254e-27,NC_037649.1,GCF_003254395.2,GCF_016802725.1,7460,13686,NC_052666.1,Gnomon,exon,29809351,29809481,None,-,None,105204533,exon-XM_011173625.3-4
10039864,10040046,0,182,0,0,10039864,10040048,182,165,+,+,243.031,2.47922e-63,NC_037649.1,GCF_003254395.2,GCF_016802725.1,7460,13686,NC_052666.1,Gnomon,exon,29803024,29803208,None,-,None,105204533,exon-XM_011173625.3-7
10042398,10042527,1,130,0,0,10042397,10042527,129,108,+,+,122.999,2.2254e-27,NC_037649.1,GCF_003254395.2,GCF_016802725.1,7460,13686,NC_052666.1,Gnomon,exon,29809351,29809481,None,-,None,105204533,exon-XM_011173623.3-4
10039864,10040046,0,182,0,0,10039864,10040048,182,165,+,+,243.031,2.47922e-63,NC_037649.1,GCF_003254395.2,GCF_016802725.1,7460,13686,NC_052666.1,Gnomon,exon,29803024,29803208,None,-,None,105204533,exon-XM_011173623.3-7
9192698,9192781,2580,2665,2,0,9190118,9198968,85,75,+,+,100.839,2.66564e-18,NC_066296.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088150.2-28
9192698,9192781,2580,2665,2,0,9190118,9198968,85,75,+,+,100.839,2.66564e-18,NC_066296.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088385.2-27
9192698,9192781,2580,2665,2,0,9190118,9198968,85,75,+,+,100.839,2.66564e-18,NC_066296.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088306.2-27
9192698,9192781,2580,2665,2,0,9190118,9198968,85,75,+,+,100.839,2.66564e-18,NC_066296.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088225.2-28
9192698,9192781,2580,2665,2,0,9190118,9198968,85,75,+,+,100.839,2.66564e-18,NC_066296.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088542.2-27
9192698,9192781,2580,2665,2,0,9190118,9198968,85,75,+,+,100.839,2.66564e-18,NC_066296.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088466.2-27
9192698,9192781,2580,2665,2,0,9190118,9198968,85,75,+,+,100.839,2.66564e-18,NC_066296.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_052890815.1-25
6546070,6546148,2585,2664,2,1,6543485,6552335,80,72,+,-,100.839,2.66564e-18,NC_066286.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088150.2-28
6546070,6546148,2585,2664,2,1,6543485,6552335,80,72,+,-,100.839,2.66564e-18,NC_066286.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088385.2-27
6546070,6546148,2585,2664,2,1,6543485,6552335,80,72,+,-,100.839,2.66564e-18,NC_066286.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088306.2-27
6546070,6546148,2585,2664,2,1,6543485,6552335,80,72,+,-,100.839,2.66564e-18,NC_066286.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088225.2-28
6546070,6546148,2585,2664,2,1,6543485,6552335,80,72,+,-,100.839,2.66564e-18,NC_066286.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088542.2-27
6546070,6546148,2585,2664,2,1,6543485,6552335,80,72,+,-,100.839,2.66564e-18,NC_066286.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088466.2-27
6546070,6546148,2585,2664,2,1,6543485,6552335,80,72,+,-,100.839,2.66564e-18,NC_066286.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_052890815.1-25
2825897,2825974,2585,2665,3,0,2823312,2832162,80,71,+,+,95.2994,1.2402e-16,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088150.2-28
1054447,1054514,2585,2655,3,0,1051862,1060712,70,60,+,-,71.293,2.09003e-09,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088150.2-28
2825897,2825974,2585,2665,3,0,2823312,2832162,80,71,+,+,95.2994,1.2402e-16,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088385.2-27
1054447,1054514,2585,2655,3,0,1051862,1060712,70,60,+,-,71.293,2.09003e-09,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088385.2-27
2825897,2825974,2585,2665,3,0,2823312,2832162,80,71,+,+,95.2994,1.2402e-16,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088306.2-27
1054447,1054514,2585,2655,3,0,1051862,1060712,70,60,+,-,71.293,2.09003e-09,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088306.2-27
2825897,2825974,2585,2665,3,0,2823312,2832162,80,71,+,+,95.2994,1.2402e-16,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088225.2-28
1054447,1054514,2585,2655,3,0,1051862,1060712,70,60,+,-,71.293,2.09003e-09,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088225.2-28
2825897,2825974,2585,2665,3,0,2823312,2832162,80,71,+,+,95.2994,1.2402e-16,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088542.2-27
1054447,1054514,2585,2655,3,0,1051862,1060712,70,60,+,-,71.293,2.09003e-09,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088542.2-27
2825897,2825974,2585,2665,3,0,2823312,2832162,80,71,+,+,95.2994,1.2402e-16,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088466.2-27
1054447,1054514,2585,2655,3,0,1051862,1060712,70,60,+,-,71.293,2.09003e-09,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088466.2-27
2825897,2825974,2585,2665,3,0,2823312,2832162,80,71,+,+,95.2994,1.2402e-16,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_052890815.1-25
1054447,1054514,2585,2655,3,0,1051862,1060712,70,60,+,-,71.293,2.09003e-09,NC_066304.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_052890815.1-25
6864990,6865072,2577,2662,3,0,6862413,6871263,85,74,+,+,93.4528,4.46056e-16,NC_066272.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088150.2-28
6864990,6865072,2577,2662,3,0,6862413,6871263,85,74,+,+,93.4528,4.46056e-16,NC_066272.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088385.2-27
6864990,6865072,2577,2662,3,0,6862413,6871263,85,74,+,+,93.4528,4.46056e-16,NC_066272.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088306.2-27
6864990,6865072,2577,2662,3,0,6862413,6871263,85,74,+,+,93.4528,4.46056e-16,NC_066272.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088225.2-28
6864990,6865072,2577,2662,3,0,6862413,6871263,85,74,+,+,93.4528,4.46056e-16,NC_066272.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088542.2-27
6864990,6865072,2577,2662,3,0,6862413,6871263,85,74,+,+,93.4528,4.46056e-16,NC_066272.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088466.2-27
6864990,6865072,2577,2662,3,0,6862413,6871263,85,74,+,+,93.4528,4.46056e-16,NC_066272.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_052890815.1-25
14292459,14292532,2578,2653,2,0,14289881,14298731,75,67,+,-,93.4528,4.46056e-16,NC_066270.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088150.2-28
12909632,12909696,2598,2665,3,0,12907034,12915884,67,59,+,-,76.8329,4.49223e-11,NC_066270.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088150.2-28
7900939,7900978,2587,2626,0,0,7898352,7907202,39,36,+,-,56.5198,5.85232e-05,NC_066270.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088150.2-28
14292459,14292532,2578,2653,2,0,14289881,14298731,75,67,+,-,93.4528,4.46056e-16,NC_066270.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088385.2-27
12909632,12909696,2598,2665,3,0,12907034,12915884,67,59,+,-,76.8329,4.49223e-11,NC_066270.1,GCF_905404315.1,GCF_947172395.1,189913,110368,NC_069110.1,Gnomon,exon,7864860,7873710,None,+,None,112050002,exon-XM_024088385.2-27
